Batch Size,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,1,152.067,174,626,46,244,5459,24,0,6559,6728,6794,6962
2,1,186.533,154,669,62,377,9427,31,0,10724,10840,10882,10989
3,1,217.4,159,695,62,527,12314,34,0,13791,13947,13986,14066
4,1,235.2,161,612,70,583,15533,35,0,16998,17122,17160,17230
5,1,252.333,159,617,64,772,18145,40,0,19806,19968,20004,20097
6,1,259.2,146,581,59,798,21526,41,0,23117,23431,23482,23587
7,1,256.667,168,730,61,959,25349,38,0,27314,27468,27501,27564
8,1,270.933,169,728,61,1051,27501,37,0,29541,29727,29793,29846
9,1,272.4,167,757,67,1135,30866,41,0,33028,33331,33385,33480
10,1,282.667,177,746,64,1301,33070,41,0,35410,35604,35648,35746
11,1,284.533,168,644,68,1361,36359,48,0,38642,38842,38913,39086
12,1,285.6,173,652,69,1519,39464,47,0,41927,42111,42149,42184
13,1,292.067,180,790,63,1542,41991,46,0,44626,44801,44827,44922
14,1,286.533,181,776,64,1732,46180,49,0,48981,49239,49326,49430
15,1,289,176,746,66,1840,49005,54,0,51865,52133,52267,52416
16,1,300.8,173,642,69,1852,50382,60,0,53158,53439,53519,53692
17,1,302.6,176,677,69,2085,53228,50,0,56260,56516,56574,56728
18,1,302.4,177,692,69,2102,56240,59,0,59288,59700,59790,60006
19,1,304,176,686,69,2282,59167,50,0,62439,62716,62774,62843
20,1,306.667,177,698,70,2328,61625,63,0,64947,65240,65315,65443
21,1,305.2,175,684,70,2449,65166,64,0,68621,68827,68885,69084
22,1,306.533,184,699,72,2552,68326,53,0,71861,72271,72320,72419
23,1,308.2,177,680,71,2618,71030,63,0,74605,75018,75093,75304
24,1,305.6,177,691,71,2834,74559,55,0,78342,78853,78987,79152
25,1,316.667,179,682,70,2867,75329,58,0,79196,79538,79619,79726
26,1,317.2,179,704,73,3041,77589,56,0,81607,82076,82107,82267
27,1,315,180,701,69,3073,81511,58,0,85598,85929,86014,86130
28,1,315.467,183,660,70,3200,84125,65,0,88286,88706,88812,88942
29,1,319,177,589,71,3308,86969,62,0,91152,91535,91676,91800
30,1,320,177,759,68,3314,89915,63,0,94330,94690,94758,94859
31,1,322.4,178,671,70,3550,91963,60,0,96499,96849,96878,97018
32,1,315.733,177,679,69,3612,96841,62,0,101436,101820,102022,102180
