Batch Size,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,1,192.8,161,515,37,211,4235,22,0,5136,5429,5542,6076
2,1,244.133,166,728,55,322,6886,29,0,8164,8475,8581,8779
3,1,283.2,175,699,56,492,9127,33,0,10585,10736,10782,10933
4,1,306.4,182,742,59,589,11442,34,1,13041,13206,13251,13343
5,1,327.667,188,746,65,740,13466,36,0,15244,15427,15467,15541
6,1,343.2,188,679,61,813,15697,41,0,17497,17725,17783,17889
7,1,337.867,195,681,66,937,18798,38,1,20736,20988,21086,21205
8,1,356.267,202,758,61,1048,20344,39,0,22478,22744,22804,22941
9,1,354,219,803,60,1151,23128,38,0,25401,25703,25775,25911
10,1,372.667,215,787,60,1272,24423,39,0,26796,27070,27175,27357
11,1,370.333,221,803,64,1377,27182,40,0,29695,29982,30042,30160
12,1,377.6,227,822,61,1518,29145,44,0,31828,32137,32203,32314
13,1,383.933,240,801,60,1625,31033,48,0,33806,34094,34204,34438
14,1,379.867,246,841,61,1725,33969,48,0,36887,37240,37339,37575
15,1,382,234,801,60,1845,36271,43,0,39264,39631,39755,39849
16,1,394.667,234,825,59,1938,37400,45,0,40509,40840,40955,41355
17,1,398.933,231,844,58,2046,39323,52,0,42577,42894,43001,43215
18,1,399.6,247,849,65,2141,41738,51,0,45084,45429,45493,45669
19,1,401.533,225,860,62,2285,43829,46,0,47287,47761,47812,47916
20,1,405.333,235,869,61,2381,45768,53,0,49365,49785,49870,50010
21,1,404.6,232,786,64,2452,48289,45,0,51866,52281,52439,52627
22,1,406.267,241,838,62,2593,50387,57,0,54152,54619,54845,55048
23,1,409.4,238,754,64,2652,52286,49,0,56051,56412,56527,56682
24,1,409.6,230,786,63,2811,54792,49,0,58762,59212,59398,59540
25,1,418.333,244,811,61,2949,55468,55,0,59555,60151,60280,60612
26,1,417.733,237,758,64,3030,57996,50,0,62166,62669,62781,63025
27,1,419.4,227,756,60,3130,60096,53,0,64396,64856,64957,65194
28,1,421.867,235,800,63,3226,61982,51,0,66381,66837,66972,67084
29,1,423.4,230,693,68,3367,64171,50,0,68606,69109,69357,69664
30,1,422,232,763,60,3430,66729,51,0,71287,71826,71963,72080
31,1,427.8,242,756,64,3589,67887,61,0,72599,73184,73358,73688
32,1,413.867,242,808,64,3647,72445,52,0,77250,77808,78110,78225
