Frequency,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
114750000,1,25.9333,117,468,43,400,37543,19,0,38593,38763,38826,38903
216750000,1,46.6667,142,621,46,349,20254,28,0,21366,21862,21964,22075
318750000,1,67.0667,118,553,34,279,13910,21,0,14896,15052,15115,15189
420750000,1,85.6,116,539,41,268,10690,22,0,11666,11796,11858,11927
522750000,1,102.933,114,509,38,258,8769,23,0,9695,9842,9886,9958
624750000,1,119.6,108,503,33,225,7463,21,0,8354,8445,8484,8586
675750000,1,126.6,117,493,37,237,6982,26,0,7886,8010,8052,8118
828750000,1,148.2,108,466,34,224,5889,20,0,6730,6832,6878,6976
905250000,1,158.733,112,440,34,211,5481,19,0,6281,6420,6470,6546
1032750000,1,172.867,113,464,34,201,4951,19,0,5770,5877,5924,6027
1198500000,1,192.2,84,433,33,190,4440,18,0,5197,5257,5276,5313
1236750000,1,193.933,97,446,33,194,4365,16,0,5150,5257,5294,5386
1338750000,1,201,106,468,30,184,4167,15,0,4971,5082,5117,5172
1377000000,1,205.133,104,432,31,184,4103,15,0,4854,4995,5032,5096
