Start,End,Frequency
1632838015675,1632838087883,114750000
1632838097919,1632838152001,216750000
1632838162035,1632838216122,318750000
1632838226156,1632838280259,420750000
1632838290292,1632838344365,522750000
1632838354399,1632838408484,624750000
1632838418517,1632838472579,675750000
1632838482612,1632838536671,828750000
1632838546704,1632838600760,905250000
1632838610792,1632838664864,1032750000
1632838674898,1632838728973,1198500000
1632838739005,1632838793070,1236750000
1632838803103,1632838857170,1338750000
1632838867204,1632838921258,1377000000
