Start,End,Frequency
1632840017611,1632840108357,114750000
1632840118389,1632840172549,216750000
1632840182581,1632840236857,318750000
1632840246890,1632840300963,420750000
1632840310995,1632840365107,522750000
1632840375139,1632840429272,624750000
1632840439305,1632840493469,675750000
1632840503501,1632840557607,828750000
1632840567639,1632840621718,905250000
1632840631751,1632840685818,1032750000
1632840695851,1632840749932,1198500000
1632840759964,1632840814095,1236750000
1632840824128,1632840878205,1338750000
1632840888238,1632840942325,1377000000
