Frequency,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
114750000,1,39.4667,171,638,46,1801,201048,29,0,203714,203994,204044,204173
216750000,1,73.6,163,599,42,1094,106972,27,0,108903,109087,109108,109154
318750000,1,107.2,159,596,44,893,73154,30,0,74872,74996,75023,75135
420750000,1,139.733,158,552,40,734,55743,32,0,57258,57371,57393,57455
522750000,1,171.2,158,548,39,689,45188,32,0,46653,46751,46776,46842
624750000,1,202.667,153,522,39,683,38123,23,0,39547,39628,39656,39746
675750000,1,217.6,155,519,39,675,35407,23,0,36818,36918,36949,37005
828750000,1,258.667,152,614,36,676,29429,22,0,30929,31073,31113,31173
905250000,1,278.933,148,598,36,672,27174,22,0,28653,28792,28823,28902
1032750000,1,307.2,151,603,36,665,24532,23,0,26025,26184,26224,26271
1198500000,1,341.867,145,600,35,653,21924,22,0,23376,23601,23670,23753
1236750000,1,348.267,145,598,36,661,21508,22,0,22967,23183,23228,23330
1338750000,1,366.933,131,539,41,667,20411,22,0,21820,22029,22098,22231
1377000000,1,372.267,146,588,38,673,20015,21,0,21495,21697,21753,21827
