Frequency,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
76800000,1,4.26667,144,565,64,1039,232843,31,0,234672,235090,235148,235235
153600000,1,8.4,127,507,56,736,117844,28,0,119304,119459,119517,119717
230400000,1,12.2667,133,559,46,665,79846,31,0,81226,81406,81463,81857
307200000,1,16.2667,132,532,51,612,60137,31,0,61486,61643,61707,61760
384000000,1,19.8,134,526,59,588,49009,31,0,50341,50512,50544,50671
460800000,1,23.4,132,528,60,571,41448,30,0,42750,42938,43009,43141
537600000,1,26.8,130,510,63,558,36078,30,0,37333,37557,37617,38016
614400000,1,29.9333,130,556,60,526,32057,30,0,33311,33566,33626,34424
691200000,1,32.6,131,502,57,512,29474,30,0,30661,30888,30956,31601
768000000,1,35.4,129,495,62,472,27025,30,0,28177,28434,28488,28652
844800000,1,37.8667,123,541,60,464,25191,30,0,26358,26626,26680,26886
921600000,1,40.4667,125,531,69,459,23509,30,0,24664,24948,25020,25693
